iter	MAE
0	0.4712871412
1	0.4637035244
2	0.4567396189
3	0.4498183763
4	0.4430151357
5	0.4359690502
6	0.4293190874
7	0.4225764859
8	0.4164234509
9	0.4104860078
10	0.4046236495
11	0.3986337064
12	0.392867817
13	0.387388174
14	0.382054909
15	0.3764970611
16	0.3713324506
17	0.3662033133
18	0.3611948938
19	0.356409577
20	0.3516626539
21	0.347040868
22	0.3424124058
23	0.338000658
24	0.3334880059
25	0.3292199201
26	0.3251105661
27	0.3210000138
28	0.3171673578
29	0.313333931
30	0.3096968156
31	0.3057391501
32	0.3021834232
33	0.2987097493
34	0.2952023216
35	0.2917782018
36	0.2885148274
37	0.2853133381
38	0.2820744113
39	0.2789032645
40	0.2759941116
41	0.2730852691
42	0.270154505
43	0.2673748659
44	0.2645970233
45	0.2619761638
46	0.2594326344
47	0.2568884764
48	0.2542652133
49	0.2518593588
50	0.2494455469
51	0.2469987517
52	0.2446918333
53	0.2424809264
54	0.2403390027
55	0.238217783
56	0.2361271271
57	0.2341352201
58	0.2320835193
59	0.2301520346
60	0.2282474489
61	0.226369851
62	0.2245521146
63	0.2227089283
64	0.2209455417
65	0.2192414394
66	0.2176652534
67	0.2160114184
68	0.2144949712
69	0.212990133
70	0.2114998167
71	0.2100362841
72	0.2086335541
73	0.2072630331
74	0.2059032968
75	0.2045546554
76	0.2032609354
77	0.2020095301
78	0.2008229166
79	0.1996340617
80	0.1984512903
81	0.197316773
82	0.1961759925
83	0.1950597951
84	0.1939691394
85	0.1929198084
86	0.1918703775
87	0.1908784581
88	0.1898670753
89	0.1889321682
90	0.1879823193
91	0.1871054924
92	0.1862080111
93	0.1853268974
94	0.184478633
95	0.1836500302
96	0.1828153943
97	0.182044811
98	0.1813093623
99	0.1805988032
100	0.1798667095
101	0.1791469713
102	0.1784415496
103	0.1777682601
104	0.1771387095
105	0.1764899622
106	0.1758794514
107	0.1752767211
108	0.1746601798
109	0.1740555505
110	0.173469846
111	0.1729053134
112	0.1723591409
113	0.1718225536
114	0.1713237487
115	0.1708266754
116	0.1703150762
117	0.1698422984
118	0.169374185
119	0.1689271751
120	0.1684879605
121	0.1680552911
122	0.1676245253
123	0.1672116445
124	0.16680938
125	0.1664134951
126	0.1660107053
127	0.1656352779
128	0.1652653034
129	0.1649058708
130	0.1645540426
131	0.1642129348
132	0.1638657312
133	0.1635426953
134	0.1632192789
135	0.1629096989
136	0.1625951497
137	0.1622924307
138	0.1620004204
139	0.1617172415
140	0.1614355663
141	0.1611559806
142	0.1608970288
143	0.1606342098
144	0.1603806732
145	0.1601395553
146	0.1599058918
147	0.1596649666
148	0.1594402199
149	0.1592291465
150	0.1590081373
151	0.1587962857
152	0.1585832209
153	0.1583916621
154	0.1582078802
155	0.1580175604
156	0.1578368844
157	0.157658189
158	0.1574732192
159	0.1573060143
160	0.1571388647
161	0.1569557051
162	0.1567841057
163	0.1566369498
164	0.1564759906
165	0.1563271101
166	0.1561815862
167	0.1560416232
168	0.1559161611
169	0.1557809929
170	0.1556442994
171	0.1555120157
172	0.1553747869
173	0.1552485498
174	0.1551254429
175	0.1550018378
176	0.1548596094
177	0.1547398431
178	0.15464221
179	0.1545347424
180	0.1544065152
181	0.1542996373
182	0.1541972762
183	0.1540986594
184	0.1540039882
185	0.1539083124
186	0.1538142914
187	0.1536892887
188	0.1535999353
189	0.1535132242
190	0.1534198582
191	0.1533069086
192	0.1532334116
193	0.1531586409
194	0.1530643509
195	0.152992084
196	0.1529167095
197	0.1528458582
198	0.1527678451
199	0.1526940297
200	0.1526232752
201	0.1525200231
202	0.1524465421
203	0.1523832921
204	0.1523206925
205	0.1522470762
206	0.1521518161
207	0.1520878802
208	0.1520245926
209	0.1519308584
210	0.1518783434
211	0.1518239652
212	0.1517743373
213	0.1517222445
214	0.1516360961
215	0.1515818041
216	0.1514998596
217	0.1514475151
218	0.1514015452
219	0.1513537136
220	0.1513062601
221	0.1512609043
222	0.1511752345
223	0.1511105275
224	0.1510633056
225	0.1510219522
226	0.150982915
227	0.1509176266
228	0.150868142
229	0.1507979588
230	0.1507541055
231	0.1507205643
232	0.1506845422
233	0.1506462474
234	0.1505697351
235	0.1505342995
236	0.1505034099
237	0.1504711276
