iter	Passed	Remaining
0	181	906801
1	312	778788
2	426	709153
3	547	682539
4	662	660582
5	780	648580
6	898	639820
7	1015	632412
8	1149	635961
9	1277	636151
10	1396	631992
11	1512	627365
12	1635	626207
13	1765	627368
14	1884	624824
15	2006	623754
16	2133	623869
17	2255	622786
18	2382	623296
19	2534	629577
20	2670	631857
21	2788	629574
22	2915	629583
23	3042	629463
24	3169	629320
25	3300	630069
26	3429	630236
27	3556	630124
28	3685	630313
29	3803	628681
30	3922	627376
31	4049	627275
32	4169	626218
33	4288	624940
34	4412	624541
35	4541	624783
36	4667	624690
37	4788	623864
38	4904	622438
39	5029	622254
40	5154	622000
41	5270	620807
42	5396	620755
43	5510	619351
44	5633	618974
45	5757	618729
46	5878	618069
47	5994	617069
48	6109	615896
49	6242	616642
50	6361	615968
51	6481	615351
52	6600	614741
53	6725	614681
54	6844	614007
55	6966	613702
56	7091	613596
57	7208	612876
58	7326	612188
59	7447	611840
60	7562	610938
61	7676	609999
62	7790	609175
63	7899	607914
64	8015	607191
65	8130	606443
66	8242	605510
67	8351	604359
68	8465	603647
69	8584	603212
70	8695	602294
71	8809	601581
72	8920	600746
73	9032	599911
74	9145	599224
75	9258	598514
76	9373	597972
77	9479	596840
78	9589	596033
79	9700	595270
80	9804	594061
81	9918	593539
82	10029	592838
83	10138	592007
84	10246	591161
85	10357	590504
86	10464	589642
87	10563	588325
88	10677	587840
89	10783	586997
90	10888	586057
91	11009	586032
92	11118	585314
93	11245	585594
94	11354	584916
95	11465	584391
96	11571	583577
97	11680	582956
98	11789	582311
99	11897	581657
100	12003	580904
101	12109	580179
102	12210	579223
103	12318	578635
104	12420	577748
105	12517	576609
106	12624	576022
107	12730	575365
108	12831	574473
109	12930	573515
110	13033	572786
111	13129	571735
112	13225	570707
113	13328	569955
114	13429	569158
115	13532	568471
116	13636	567848
117	13731	566839
118	13830	565999
119	13934	565377
120	14033	564599
121	14137	564005
122	14239	563337
123	14336	562480
124	14438	561813
125	14534	560972
126	14638	560415
127	14732	559479
128	14830	558737
129	14925	557881
130	15017	556918
131	15114	556134
132	15203	555089
133	15300	554354
134	15393	553494
135	15492	552827
136	15590	552136
137	15682	551278
138	15782	550678
139	15882	550105
140	15975	549272
141	16065	548376
142	16156	547505
143	16246	546632
144	16335	545715
145	16427	544904
146	16518	544100
147	16612	543384
148	16700	542485
149	16791	541679
150	16889	541136
151	16977	540263
152	17070	539566
153	17161	538817
154	17251	538018
155	17344	537354
156	17430	536446
157	17520	535705
158	17612	535007
159	17698	534154
160	17788	533436
161	17887	532969
162	17973	532159
163	18062	531410
164	18149	530612
165	18245	530106
166	18329	529255
167	18423	528675
168	18508	527888
169	18600	527262
170	18694	526722
171	18781	526000
172	18874	525434
173	18961	524718
174	19049	524031
175	19136	523308
176	19223	522612
177	19312	521980
178	19411	521614
179	19506	521148
180	19603	520741
181	19698	520291
182	19789	519708
183	19877	519080
184	19965	518462
185	20060	518024
186	20151	517467
187	20237	516814
188	20334	516437
189	20427	515967
190	20512	515276
191	20603	514771
192	20690	514154
193	20778	513572
194	20872	513143
195	20956	512481
196	21046	511961
197	21137	511475
198	21224	510871
199	21324	510611
200	21412	510068
201	21503	509580
202	21596	509159
203	21684	508626
204	21786	508419
205	21889	508235
206	21981	507805
207	22069	507288
208	22166	506971
209	22255	506461
210	22342	505927
211	22427	505367
212	22515	504854
213	22609	504482
214	22703	504132
215	22794	503701
216	22890	503379
217	22973	502774
218	23056	502185
219	23147	501783
220	23233	501261
221	23325	500867
222	23422	500599
223	23520	500328
224	23610	499905
225	23696	499418
226	23781	498883
227	23873	498510
228	23975	498356
229	24063	497913
230	24159	497628
231	24255	497338
232	24341	496869
233	24435	496543
234	24530	496248
235	24618	495809
236	24708	495412
237	24813	495325
238	24902	494920
239	25003	494762
240	25103	494562
241	25187	494070
242	25283	493801
243	25378	493521
244	25477	493328
245	25577	493149
246	25673	492888
247	25773	492701
248	25855	492184
249	25937	491667
250	26033	491422
251	26124	491082
252	26229	490995
253	26310	490473
254	26388	489899
255	26487	489713
256	26576	489339
257	26664	488954
258	26745	488438
259	26830	488000
260	26926	487770
261	27030	487687
262	27126	487456
263	27235	487449
264	27327	487159
265	27416	486797
266	27501	486373
267	27601	486217
268	27690	485862
269	27780	485542
270	27867	485166
271	27966	484992
272	28059	484715
273	28155	484497
274	28238	484062
275	28326	483703
276	28420	483456
277	28511	483152
278	28604	482887
279	28691	482537
280	28777	482144
281	28865	481814
282	28946	481356
283	29030	480949
284	29113	480528
285	29209	480327
286	29293	479927
287	29379	479560
288	29473	479321
289	29575	479231
290	29657	478793
291	29747	478514
292	29849	478412
293	29940	478129
294	30036	477937
295	30123	477604
296	30220	477415
297	30303	477023
298	30410	477001
299	30492	476599
300	30585	476355
301	30671	476012
302	30759	475706
303	30844	475344
304	30940	475169
305	31031	474899
306	31141	474937
307	31224	474553
308	31326	474457
309	31420	474242
310	31510	473968
